Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
Protein_total,--,0.75,498,131,12.2,8.1,0.0229,0.0901,0.642,6.4,0.2248,39.2
Protein_total,--,0.875,14,0,0.3,0.0,0.0203,0.0901,0.6577,7.5,0.2205,39.2
Protein_total,--,0.99,14,0,0.3,0.0,0.0203,0.0901,0.6577,7.5,0.2205,39.2
Globulin,--,0.5,4017,1750,99.0,98.5,0.0952,0.1554,0.6392,1.3,0.2429,33.6
Globulin,--,0.625,3394,1283,83.6,79.1,0.0657,0.0811,0.5966,0.7,0.2384,33.6
Globulin,--,0.75,637,145,15.7,10.8,0.0105,0.0694,0.6003,2.6,0.2159,33.6
Globulin,--,0.875,1,0,0.0,0.0,0.0108,0.0729,0.6043,2.8,0.2148,33.6
Globulin,--,0.99,0,0,0.0,0.0,0.0108,0.0729,0.6043,2.8,0.2148,33.6
AST,--,0.5,3337,851,81.9,60.4,0.0573,0.177,0.8062,25.0,0.1696,29.6
AST,--,0.625,3032,647,74.4,48.2,0.0525,0.2027,0.7983,24.2,0.1676,29.6
AST,--,0.75,2493,400,61.2,31.6,0.0454,0.2005,0.799,25.7,0.159,29.6
AST,--,0.875,1670,157,41.0,12.9,0.0326,0.2212,0.8257,31.7,0.143,29.6
AST,--,0.99,0,0,0.0,0.0,0.0286,0.1672,0.8509,35.6,0.1341,29.6
ALT,--,0.5,3588,712,89.8,71.2,0.0819,0.1938,0.822,20.0,0.1502,16.9
ALT,--,0.625,3488,627,87.3,66.1,0.0797,0.1606,0.8118,18.8,0.1471,16.9
ALT,--,0.75,3274,503,82.0,56.5,0.0709,0.1352,0.8015,18.9,0.1405,16.9
ALT,--,0.875,2631,282,65.9,35.3,0.0503,0.1197,0.8152,24.4,0.121,16.9
ALT,--,0.99,0,0,0.0,0.0,0.013,0.1016,0.8866,39.0,0.0856,16.9
GGT,--,0.5,1141,332,55.1,33.9,0.0777,0.2311,0.8134,26.9,0.1822,41.6
GGT,--,0.625,1012,238,48.9,25.2,0.0649,0.1726,0.8191,28.3,0.1779,41.6
GGT,--,0.75,846,143,40.9,15.6,0.0585,0.133,0.8276,30.2,0.1723,41.6
GGT,--,0.875,642,55,31.0,6.2,0.0448,0.0975,0.845,34.1,0.1615,41.6
GGT,--,0.99,64,0,3.1,0.0,0.0346,0.0831,0.8648,38.7,0.149,41.6
Alkaline_Phosphatase,--,0.5,3266,1017,79.1,63.0,0.0897,0.9233,0.7611,15.8,0.2006,30.0
Alkaline_Phosphatase,--,0.625,2956,805,71.6,52.6,0.0746,0.9233,0.7472,14.7,0.1988,30.0
Alkaline_Phosphatase,--,0.75,2086,390,50.5,28.2,0.0534,0.9233,0.7429,16.0,0.187,30.0
Alkaline_Phosphatase,--,0.875,1340,188,32.5,14.3,0.0395,0.9233,0.7581,18.8,0.1761,30.0
Alkaline_Phosphatase,--,0.99,14,0,0.3,0.0,0.0239,0.9304,0.7977,23.8,0.1599,30.0
Bilirubin_total,--,0.5,3599,789,90.4,75.6,0.0618,0.9992,0.7897,19.7,0.1554,18.0
Bilirubin_total,--,0.625,3407,600,85.6,64.9,0.0468,0.9992,0.7685,17.6,0.1469,18.0
Bilirubin_total,--,0.75,3114,407,78.2,49.5,0.0283,0.6465,0.7514,17.7,0.1349,18.0
Bilirubin_total,--,0.875,2480,233,62.3,31.2,0.0262,0.6465,0.757,20.0,0.1219,18.0
Bilirubin_total,--,0.99,0,0,0.0,0.0,0.0286,0.6465,0.7986,23.9,0.1103,18.0
Bilirubin_direct,--,0.5,451,179,66.3,51.6,0.1283,0.4286,0.7103,4.9,0.2377,47.1
Bilirubin_direct,--,0.625,359,135,52.8,39.5,0.1291,0.4286,0.7092,5.5,0.2362,47.1
Bilirubin_direct,--,0.75,315,106,46.3,31.3,0.1248,0.4286,0.7086,5.7,0.2358,47.1
