Lab,ALT,AST,Albumin,Alkaline_Phosphatase,Amylase,Baso_abs,Bilirubin_direct,Bilirubin_neonatal,Bilirubin_total,CPK,CRP,Calcium,Calcium_ionized,Carboxyhemoglobin,Chloride,Cholesterol,Creatinine,Deoxyhemoglobin,Eos_abs,Ferritin,Folate,GGT,Globulin,Glucose,HCT,HDL,HGB,Iron,LDH,LDL,Lactate,Lympho_abs,MCV,MPV,Magnesium,Methemoglobin,Mono_abs,NRBC_abs,Neutro_abs,O2_saturation,Osmolality,Oxyhemoglobin,PLT,PT,PTT,Phosphorus,Potassium,Protein_total,RBC,RDW,Reticulo_abs,Sodium,Specific_gravity,TSH,Transferrin,Triglycerides,Troponin_I_HS,Urea,Uric_acid,Vitamin_B12,WBC,pCO2,pH,pO2
Folate,-0.08636463147287914,-0.1439348898735156,0.1516408870381864,-0.1526184911563289,,,-0.12964330568696644,,-0.12934847149925466,-0.1237167069622785,-0.11749162195896266,0.14914838084692914,,,0.059431463288100554,0.1814983325170031,-0.26197864951629823,,,-0.07550521942526434,1.0,-0.29133759361970757,0.023336836272707585,0.02018339761357315,,,,-0.11010389700842985,0.1317670583183899,,,,,,-0.1490243241587623,,,,,,-0.22253561972391228,,,,,-0.19171435802792458,0.028026249302315287,0.10801276849610504,,,,0.053497182313897586,,0.21107264088260264,0.08091165499393901,-0.1671500030711582,,-0.2965098787886523,-0.2549243174783009,-0.19279061478705714,,,,
GGT,0.13719303600204985,0.11197793943119072,-0.19735142181814166,0.6211073888460789,0.18698903130929634,,0.3729707458364618,,0.4140891116729657,-0.034143259905946154,0.06774856105175277,-0.11619899959360107,,,-0.08434495121993543,0.17208827402436888,0.06822443160508643,,,0.37748512993024125,-0.29133759361970757,1.0,-0.06033695023658396,-0.03375820820510905,,-0.23740500352031213,,0.5387389425014784,0.17346225686026046,0.1966696923250062,,,,,-0.003635725043173214,,,,,,0.007115217237393215,,,,,0.09092510650263728,0.02369462802659417,-0.18242361662187137,,,,-0.10215234625504183,,0.1341050371612054,-0.6194787798415164,-0.047627692170265676,-0.02433052287708421,0.13759888094997816,0.07898902941538222,0.7090686934368021,,,,
Globulin,-0.007889529921024386,-0.00022253912643086136,-0.049241588130902014,0.050352632438107905,-0.08229020301849202,,-0.10626449895005849,,-0.08490580544840441,-0.025168546443054267,0.10130910385979312,0.1461268888728276,,,-0.09265617373006761,0.06392248520486274,0.018708844199054296,,,-0.14587954091292116,0.023336836272707585,-0.06033695023658396,1.0,0.09612050787956293,,-0.10174260155269021,,-0.2084922701070578,-0.05020955469213599,0.01583194587440865,,,,,0.004882804460360013,,,,,,0.022964942506048875,,,,,0.04855995530485022,0.11349315853718847,0.6966829428679415,,,,-0.05899415975037423,,-0.032006554470564615,0.37672558368149506,-0.27192130143190396,-0.09769146881846132,0.058936579901445976,0.08551857254320734,-0.3499853383470949,,,,
Glucose,-0.004275127612633502,-0.0034139675180525583,-0.04926105708744056,-0.010180609369384929,-0.0625134696494445,,0.060640537402424546,,0.02252261195670548,-0.012084053038423125,0.07025159370636429,-0.04657425721938258,,,-0.05432002977974786,-0.1571819424697639,0.03169654224798575,,,0.2079767265443269,0.02018339761357315,-0.03375820820510905,0.09612050787956293,1.0,,-0.15905828088886886,,0.025616385280739406,-0.012648110041924197,-0.16220400653856754,,,,,0.008471513905227563,,,,,,0.24270878482080047,,,,,0.007826576154958468,0.06711292143146036,0.03268818831783529,,,,-0.04560125729715556,,-0.06783865482877718,-0.14783119157144373,0.08044026034837821,0.06125593681403133,0.1267139664997387,0.046785722263147644,0.17938240017135762,,,,
HCT,,,,,,0.1030957886224719,,,,,,,,,,,,,0.06550614999352486,,,,,,1.0,,0.9869218476189597,,,,,0.05141847541914812,-0.05935147797003049,0.0952131819093204,,,0.05017441035170147,-0.044359937512813495,0.03207119954524747,,,,0.13953625129308642,,,,,,0.9278454662500569,-0.19987436148451568,0.10774403692432628,,,,,,,,,,0.05413189014903636,,,
HDL,-0.06734949629998396,-0.08152400676593029,-0.019076605552995052,-0.07529641993625913,,,,,-0.17607550442552014,-0.054403858027882265,-0.25591181643889294,0.02817214397875476,,,-0.03705841308931583,0.5721745637128121,-0.13883708727483618,,,,,-0.23740500352031213,-0.10174260155269021,-0.15905828088886886,,1.0,,,-0.11743119420063962,0.4841887675995886,,,,,0.08062007011351119,,,,,,-0.19663668429089104,,,,,0.03890885788649406,0.08241584509085083,-0.07358127779829782,,,,-0.034131477037311043,,0.18844505773105932,,-0.19799294123282657,0.07389223221892122,-0.24144842161621574,-0.11633038352505158,,,,,
HGB,,,,,,0.07791328262983338,,,,,,,,,,,,,0.05431291720352726,,,,,,0.9869218476189597,,1.0,,,,,0.033287743486351974,-0.010461141979565793,0.07339250667634335,,,0.0329475218350648,-0.05944608144074864,-0.00109265885302713,,,,0.13111975944988927,,,,,,0.8976261378814229,-0.26385180381047363,0.07605316588042389,,,,,,,,,,0.019678024208286092,,,
Iron,-0.026990177909080156,0.212081782225338,0.05496864993716338,0.19570772429990202,,,0.2695896674236884,,0.40913887013496486,-0.1651089366624317,-0.27832215346856426,0.014499034479201183,,,-0.18890499001636396,,0.01740683890942079,,,0.2600347300642579,-0.11010389700842985,0.5387389425014784,-0.2084922701070578,0.025616385280739406,,,,1.0,0.2742130400860909,,,,,,-0.006731760880307553,,,,,,0.09385468698464643,,,,,0.15303826972956455,0.043497407623888464,-0.12440223234497721,,,,-0.13521248370334957,,,0.009588631320858824,0.7567184648337546,,0.14692008709144666,0.06339988422693789,0.1653361866869697,,,,
LDH,0.4250554756053542,0.6085421516615973,-0.1345819991996652,0.19796340497882645,0.092581073291227,,0.05268306602574916,,0.12757267502471126,0.1620239224885844,0.12621566690271555,-0.11171123341248584,,,-0.0516134672265551,-0.03541308015954231,-0.009158848115835809,,,0.23577777548763548,0.1317670583183899,0.17346225686026046,-0.05020955469213599,-0.012648110041924197,,-0.11743119420063962,,0.2742130400860909,1.0,-0.057006873215740196,,,,,0.059067247615267306,,,,,,0.027971426700889004,,,,,0.08826407536578161,0.031086531888956215,-0.13275961491380575,,,,0.009299133752105778,,-0.04773576659339503,-0.02642662678211089,-0.02708460198113771,0.17219011152343783,0.04349612416031033,0.06931909485693108,0.29911695003034455,,,,
LDL,0.055918126064483924,-0.03236649107554353,-0.2291394982678236,0.6355099040389685,,,,,0.15477247026802143,-0.08680990639308231,-0.251348862979435,0.04772842982567039,,,-0.050038236863579465,0.9831489201614574,-0.21212075772119493,,,,,0.1966696923250062,0.01583194587440865,-0.16220400653856754,,0.4841887675995886,,,-0.057006873215740196,1.0,,,,,-0.048183246848224184,,,,,,-0.2775517995711111,,,,,0.03507477172479191,0.06723747629002573,-0.16524307766000176,,,,-0.14319809832052083,,0.32842779792914123,,0.1908748680885338,-0.1769172377994412,-0.1848803952114797,-0.026441999116080122,,,,,
