Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
TSH,0.85,150,0,0,0.0,0.0,0.0,2.0832,35.1,0.6186
Transferrin,0.85,34,13,2,38.2,5.88,15.38,20.8557,8.9,0.6792
Triglycerides,0.85,62,3,1,4.8,1.61,33.33,80.7457,33.5,0.5348
Troponin_I_HS,0.85,711,0,0,0.0,0.0,0.0,743.0713,158.4,0.6154
Urea,0.85,4963,0,0,0.0,0.0,0.0,11.8642,14.5,0.5749
Uric_acid,0.85,4852,2031,246,41.9,5.07,12.11,0.7069,9.2,0.6918
Vitamin_B12,0.85,45,10,2,22.2,4.44,20.0,208.5595,20.6,0.4341
WBC,0.85,1306,0,0,0.0,0.0,0.0,2.5695,18.8,0.6353
pCO2,0.85,931,2,2,0.2,0.21,100.0,6.5332,10.9,0.5291
pH,0.85,1010,0,0,0.0,0.0,0.0,0.0861,0.5,0.5939
pO2,0.85,930,0,0,0.0,0.0,0.0,15.6454,26.6,0.5997
ALT,0.9,4922,6,4,0.1,0.08,66.67,15.165,34.1,0.5848
AST,0.9,4974,0,0,0.0,0.0,0.0,24.9359,30.2,0.5463
Albumin,0.9,4915,1821,156,37.0,3.17,8.57,0.2211,5.6,0.7068
Alkaline_Phosphatase,0.9,4972,62,9,1.2,0.18,14.52,17.0353,9.9,0.6479
Amylase,0.9,435,0,0,0.0,0.0,0.0,36.9079,22.2,0.6707
Baso_abs,0.9,1286,1003,84,78.0,6.53,8.37,0.0217,39.2,0.7079
Bilirubin_direct,0.9,730,0,0,0.0,0.0,0.0,0.318,31.1,0.5718
Bilirubin_neonatal,0.9,447,447,0,100.0,0.0,0.0,0.0638,0.9,
Bilirubin_total,0.9,4914,44,9,0.9,0.18,20.45,0.1957,19.1,0.6336
CPK,0.9,2052,3,1,0.1,0.05,33.33,144.3394,53.1,0.5777
CRP,0.9,4898,0,0,0.0,0.0,0.0,28.8424,43.3,0.669
Calcium,0.9,4919,82,7,1.7,0.14,8.54,0.3416,3.2,0.6615
Calcium_ionized,0.9,471,5,2,1.1,0.42,40.0,0.0406,2.6,0.687
Carboxyhemoglobin,0.9,475,0,0,0.0,0.0,0.0,0.3515,40.1,0.5303
Chloride,0.9,4977,158,14,3.2,0.28,8.86,2.3542,1.7,0.6764
Cholesterol,0.9,160,5,0,3.1,0.0,0.0,14.1307,8.8,0.7635
Creatinine,0.9,4989,0,0,0.0,0.0,0.0,0.2358,10.7,0.7198
Deoxyhemoglobin,0.9,471,0,0,0.0,0.0,0.0,14.5339,47.0,0.5696
Eos_abs,0.9,1312,20,3,1.5,0.23,15.0,0.0943,51.5,0.6012
Ferritin,0.9,53,0,0,0.0,0.0,0.0,557.8199,95.2,0.619
Folate,0.9,45,2,0,4.4,0.0,0.0,3.9521,31.8,0.6744
GGT,0.9,2606,0,0,0.0,0.0,0.0,31.3295,20.1,0.6186
Globulin,0.9,4923,11,3,0.2,0.06,27.27,0.2328,6.7,0.6386
Glucose,0.9,4989,0,0,0.0,0.0,0.0,27.8755,16.3,0.6309
HCT,0.9,1317,10,0,0.8,0.0,0.0,2.3442,5.8,0.6184
HDL,0.9,58,13,2,22.4,3.45,15.38,4.6919,7.7,0.7244
HGB,0.9,1316,0,0,0.0,0.0,0.0,0.7604,5.6,0.6463
