feature_code,token_type,source_table,cutoff_rule,transformation,missing_value_policy,value_column,time_column,observed_rows
Amylase__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Amylase__first_admission,t__Amylase__first_admission,2481
Amylase__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Amylase__max_24h,t__Amylase__max_24h,1543
Amylase__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Amylase__max_72h,t__Amylase__max_72h,2086
Amylase__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Amylase__mean_24h,t__Amylase__mean_24h,1543
Amylase__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Amylase__mean_72h,t__Amylase__mean_72h,2086
Amylase__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Amylase__min_24h,t__Amylase__min_24h,1543
Amylase__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Amylase__min_72h,t__Amylase__min_72h,2086
Amylase__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Amylase__prev1,t__Amylase__prev1,2481
Amylase__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Amylase__prev2,t__Amylase__prev2,1297
Amylase__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Amylase__prev3,t__Amylase__prev3,973
Amylase__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Amylase__prior_count,t__Amylase__prior_count,2481
Amylase__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Amylase__slope_per_day,t__Amylase__slope_per_day,1297
Amylase__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Amylase__std_24h,t__Amylase__std_24h,2
Amylase__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Amylase__std_72h,t__Amylase__std_72h,850
Baso_abs__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Baso_abs__delta,t__Baso_abs__delta,4293
Baso_abs__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Baso_abs__first_admission,t__Baso_abs__first_admission,6144
Baso_abs__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Baso_abs__max_24h,t__Baso_abs__max_24h,3282
Baso_abs__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Baso_abs__max_72h,t__Baso_abs__max_72h,5052
