Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
Carboxyhemoglobin,--,0.85,0,0,0.0,0.0,0.0817,0.4167,0.5647,-1.3,0.2479,57.3
Carboxyhemoglobin,--,0.875,0,0,0.0,0.0,0.0817,0.4167,0.5647,-1.3,0.2479,57.3
Carboxyhemoglobin,--,0.99,0,0,0.0,0.0,0.0817,0.4167,0.5647,-1.3,0.2479,57.3
Chloride,--,0.5,4946,934,99.38,97.8,0.01,0.6667,0.694,8.9,0.1413,19.2
Chloride,--,0.625,4583,757,92.08,79.27,0.01,0.6667,0.694,8.9,0.1413,19.2
Chloride,--,0.75,3516,444,70.64,46.49,0.01,0.6667,0.694,8.9,0.1413,19.2
Chloride,--,0.85,2365,245,47.52,25.65,0.01,0.6667,0.694,8.9,0.1413,19.2
Chloride,--,0.875,2003,196,40.25,20.52,0.01,0.6667,0.694,8.9,0.1413,19.2
Chloride,--,0.99,3,0,0.06,0.0,0.01,0.6667,0.694,8.9,0.1413,19.2
Cholesterol,--,0.5,159,32,99.38,100.0,0.0357,1.0,0.6519,1.3,0.1579,20.0
Cholesterol,--,0.625,140,25,87.5,78.12,0.0357,1.0,0.6519,1.3,0.1579,20.0
Cholesterol,--,0.75,120,17,75.0,53.12,0.0357,1.0,0.6519,1.3,0.1579,20.0
Cholesterol,--,0.85,40,4,25.0,12.5,0.0357,1.0,0.6519,1.3,0.1579,20.0
Cholesterol,--,0.875,39,4,24.38,12.5,0.0357,1.0,0.6519,1.3,0.1579,20.0
Cholesterol,--,0.99,4,1,2.5,3.12,0.0357,1.0,0.6519,1.3,0.1579,20.0
Creatinine,--,0.5,3677,1428,73.7,62.82,0.0126,0.25,0.6163,7.9,0.2284,45.6
Creatinine,--,0.625,2770,1063,55.52,46.77,0.0126,0.25,0.6163,7.9,0.2284,45.6
Creatinine,--,0.75,2,0,0.04,0.0,0.0126,0.25,0.6163,7.9,0.2284,45.6
Creatinine,--,0.85,0,0,0.0,0.0,0.0126,0.25,0.6163,7.9,0.2284,45.6
Creatinine,--,0.875,0,0,0.0,0.0,0.0126,0.25,0.6163,7.9,0.2284,45.6
Creatinine,--,0.99,0,0,0.0,0.0,0.0126,0.25,0.6163,7.9,0.2284,45.6
Deoxyhemoglobin,--,0.5,0,0,0.0,0.0,0.04,0.0465,0.5655,-2.4,0.0573,94.1
Deoxyhemoglobin,--,0.625,0,0,0.0,0.0,0.04,0.0465,0.5655,-2.4,0.0573,94.1
Deoxyhemoglobin,--,0.75,0,0,0.0,0.0,0.04,0.0465,0.5655,-2.4,0.0573,94.1
Deoxyhemoglobin,--,0.85,0,0,0.0,0.0,0.04,0.0465,0.5655,-2.4,0.0573,94.1
Deoxyhemoglobin,--,0.875,0,0,0.0,0.0,0.04,0.0465,0.5655,-2.4,0.0573,94.1
Deoxyhemoglobin,--,0.99,0,0,0.0,0.0,0.04,0.0465,0.5655,-2.4,0.0573,94.1
Eos_abs,--,0.5,1212,154,92.38,74.04,0.0407,0.1426,0.6961,11.7,0.1178,15.9
Eos_abs,--,0.625,1212,154,92.38,74.04,0.0407,0.1426,0.6961,11.7,0.1178,15.9
Eos_abs,--,0.75,1055,107,80.41,51.44,0.0407,0.1426,0.6961,11.7,0.1178,15.9
Eos_abs,--,0.85,827,79,63.03,37.98,0.0407,0.1426,0.6961,11.7,0.1178,15.9
Eos_abs,--,0.875,827,79,63.03,37.98,0.0407,0.1426,0.6961,11.7,0.1178,15.9
Eos_abs,--,0.99,6,1,0.46,0.48,0.0407,0.1426,0.6961,11.7,0.1178,15.9
Ferritin,--,0.5,38,11,71.7,52.38,0.1864,0.3373,0.6845,8.7,0.2184,39.6
Ferritin,--,0.625,0,0,0.0,0.0,0.1864,0.3373,0.6845,8.7,0.2184,39.6
Ferritin,--,0.75,0,0,0.0,0.0,0.1864,0.3373,0.6845,8.7,0.2184,39.6
Ferritin,--,0.85,0,0,0.0,0.0,0.1864,0.3373,0.6845,8.7,0.2184,39.6
